"","gene_symbol","log2FC_RNA","padj_RNA","log2FC_protein","padj_protein","r_all","r_Control","r_LRTI","delta_r_LRTI_Control"
"2257","MTX2",-0.191868798326986,0.761651257014385,-0.0151755081279544,0.998419475690512,-0.10143203473471,-0.0151423390330076,-0.153496864466525,-0.138354525433518
"2258","SNX1",0.213315709365831,0.550449119460996,-0.0404917410761363,0.998419475690512,0.0832750913566613,0.01454604868037,0.152896681582441,0.138350632902071
"2259","PPP3R1",0.32516158344288,0.229306274774046,0.179146491694829,0.998419475690512,0.102515814020526,-0.0138734907663246,0.124297190033834,0.138170680800159
"2260","USP25",0.757638206664147,0.00835603039634661,0.181920371453424,0.917185685045979,0.204449501557291,0.047765993747672,0.1859007468716,0.138134753123928
"2261","CTSA",0.230004438796095,0.50400418750053,-0.00303673764268901,0.998419475690512,0.0263725124478648,0.12686880551526,-0.0112332563317369,-0.138102061846996
"2262","CELF2",0.228780651176786,0.523300277738329,0.159032096925281,0.998419475690512,-0.0329457770329226,0.0475369117815977,-0.0904606695804229,-0.137997581362021
"2263","HNRNPA2B1",0.247729155333321,0.398413152461288,0.374067584655877,0.998419475690512,0.058341515505047,-0.0780552278540511,0.0597905665753624,0.137845794429414
"2264","MOB1A",0.458034353784724,0.0290727646030427,0.00335876474979948,0.998419475690512,0.101181730443188,0.0509327224743269,0.188747300943439,0.137814578469112
"2265","BSG",-0.191506969059093,0.522079164228479,0.104913455670519,0.998419475690512,0.12793341796539,0.0902375571446325,0.227981990075005,0.137744432930372
"2266","PFN1",0.191125260578611,0.609002447001136,0.209115570764866,0.998419475690512,0.140167866347169,0.0298903801826795,0.16750742513081,0.137617044948131
"2267","ARL6IP5",0.257490642204405,0.284308414772787,0.0093988381726466,0.998419475690512,-0.00797491825676423,0.0927063063965541,-0.0448970120951917,-0.137603318491746
"2268","CUL9",0.0612096690952021,0.912029094873388,-0.060963006798795,0.998419475690512,0.2141904008527,0.13343612527485,0.271011809465709,0.137575684190859
"2269","ADRM1",0.198249021697829,0.492145895343578,-0.0971186107696788,0.731090897332187,-0.049322322389448,-0.116273764626219,0.0212197963327852,0.137493560959004
"2270","HERC4",0.200961393757018,0.55780939811833,0.00888627886832149,0.998419475690512,0.127325176349261,0.233237656123143,0.0957635790501632,-0.13747407707298
"2271","BATF",0.921092570793616,0.0123539997535055,-0.0574133021089471,0.998419475690512,-0.00820415146321413,0.117051936054443,-0.0203180874058138,-0.137370023460256
"2272","CBLIF",0.437656166355669,0.618098590488199,-0.25096260590607,0.565340011812361,-0.0347772516246572,-0.0810756955226521,0.0562350344412514,0.137310729963904
"2273","PCK2",0.182564561388634,0.724659069213919,0.0685027845045179,0.998419475690512,0.237557999355848,0.318611070975558,0.181437015795711,-0.137174055179848
"2274","SULT1B1",0.450641192806086,0.391419118757372,-0.147811682324787,0.998419475690512,0.27231269420965,0.372599627811369,0.235463061854525,-0.137136565956845
"2275","CMIP",0.0973832054052895,0.691555329002916,0.093176937972797,0.998419475690512,-0.0117252059838744,-0.133290504117569,0.00384256239365658,0.137133066511225
"2276","RPS19",0.0138861253002742,0.981549629508397,0.276449629869898,0.998419475690512,-0.0318087697292547,0.0487388063113348,-0.088392838333434,-0.137131644644769
"2277","PTPRH",0.259175329999056,0.725800771992487,-0.028653662685011,0.998419475690512,-0.124533988768953,-0.213158129434885,-0.0761283871794402,0.137029742255445
"2278","HDGF",-0.135257049038041,0.68096773419648,0.0649787394868986,0.998419475690512,0.0337777065313828,-0.0523830928283069,0.0845868699696367,0.136969962797944
"2279","UBA5",-0.537873743522423,0.221358209734288,-0.0032863500662697,0.998419475690512,-0.144214967172065,-0.23921781834397,-0.102314034502252,0.136903783841719
