"gene_symbol","log2FC_RNA","padj_RNA","log2FC_protein","padj_protein","sig_class"
"FAH",-1.01667224261865,0.0303194842696422,0.303242550566066,0.843121181677977,"RNA only"
"CD244",1.04474248909231,0.0315294637259649,-0.0321032573118705,0.998419475690512,"RNA only"
"FAM221A",-0.758356750271116,0.0316093351223991,0.184363302555277,0.998419475690512,"RNA only"
"PLOD3",-0.634750119142503,0.0323245934495294,0.257646053833985,0.998419475690512,"RNA only"
"NAXE",-0.856889285543529,0.0330284290507462,0.426227196325922,0.998419475690512,"RNA only"
"NOMO2",-0.591703559065906,0.0330284290507462,0.289846902076008,0.998419475690512,"RNA only"
"EVA1C",-1.1050160906729,0.0331659316306677,0.0294211662648967,0.998419475690512,"RNA only"
"GSTK1",0.648354376163584,0.0343010093270604,-0.0156539567056457,0.998419475690512,"RNA only"
"CD37",0.520499667560043,0.0363694181761009,-0.039459620405903,0.998419475690512,"RNA only"
"SLAMF1",1.31196214414086,0.036910001905118,-0.0652178117645683,0.994306542239506,"RNA only"
"HYOU1",-0.550885032833791,0.0372820208515267,0.268970631164188,0.998419475690512,"RNA only"
"RTN1",-0.847242272669602,0.0373545348800256,0.0724847624827872,0.998419475690512,"RNA only"
"GSKIP",0.667994087383827,0.0374552329349062,-0.0213839519771104,0.998419475690512,"RNA only"
"B4GALT5",0.494600105942222,0.0392551306637844,-0.026662878389836,0.998419475690512,"RNA only"
"SOCS3",0.652966578007531,0.0407568660540174,-0.0691868717181666,0.998419475690512,"RNA only"
"BAG3",-0.779494060689598,0.0412037334385555,0.0144946434054612,0.998419475690512,"RNA only"
"TCEA3",-1.14766357157379,0.0415614646315328,0.311180484176079,0.853216168095328,"RNA only"
"CSNK1G2",0.480577720595158,0.0421273201014775,-0.00450730953466643,0.998419475690512,"RNA only"
"BIRC2",0.544495618987546,0.0421273201014775,-0.0240681694272521,0.998419475690512,"RNA only"
"ASGR2",1.02544872866352,0.042410593754253,-0.0131181671685102,0.998419475690512,"RNA only"
"ANXA3",0.94364670982026,0.0424751641260112,-0.105785956841065,0.998419475690512,"RNA only"
"OLIG1",1.13551472262199,0.0433771613937896,-0.0283713485369641,0.998419475690512,"RNA only"
"CENPV",-1.14414616447133,0.043468065748889,0.0589102217924828,0.998419475690512,"RNA only"
"YJU2",0.744704576019433,0.0435915245783053,-0.00782890993178499,0.998419475690512,"RNA only"
"CTLA4",1.49098796815692,0.0436443263056263,-0.146588603216147,0.950123900288119,"RNA only"
"NME2",-0.61292236835447,0.0436443263056263,0.341657705870714,0.998419475690512,"RNA only"
"LAMC2",-1.04447036626022,0.0440324374769799,0.0139611156486791,0.998419475690512,"RNA only"
"RNF31",0.687289310257457,0.0453720683258112,-0.134461871228064,0.994306542239506,"RNA only"
"PSPC1",0.416298002863014,0.0457181817952604,-0.0250221193925059,0.998419475690512,"RNA only"
"PSG2",-1.35112842185871,0.0470115053985697,0.0040830241791012,0.998419475690512,"RNA only"
"EEF2K",-0.718326249053163,0.0478571808993477,0.0563564307462205,0.998419475690512,"RNA only"
"CHID1",-0.6320621717438,0.0492224765498374,0.0131730453774226,0.998419475690512,"RNA only"
"CS",-0.421239398406579,0.0505031823730416,0.613077266579987,0.963204148073108,"Not Significant"
"GAA",-0.595560092566516,0.0537789006378553,0.0334295691326914,0.998419475690512,"Not Significant"
"ECH1",-0.573675204087963,0.0546697460113714,0.0264805272441731,0.998419475690512,"Not Significant"
"PMM2",-0.844749697022752,0.0555014357205015,0.454077253051385,0.966961547562754,"Not Significant"
"CETN2",-0.967410960603904,0.0563408438585868,0.167102425650729,0.998419475690512,"Not Significant"
"GALNT4",0.709771087107402,0.0569073166004163,-0.137399556221972,0.998419475690512,"Not Significant"
"TXNDC5",-0.682843236787728,0.0575404399128667,0.41329195214883,0.783305794909646,"Not Significant"
"UBE2D4",-1.09678779096771,0.0584500884050137,0.276033940124824,0.998419475690512,"Not Significant"
