"sample_name","name","tax_id","tax_level","genus_tax_id","common_name","category","nt_count","nt_rpm","nt_contigs","nt_contig_r","nt_percent_identity","nt_alignment_length","nr_count","nr_rpm","nr_contigs","nr_contig_r","nr_percent_identity","expected_bg_count","p_val","p_adj"
"P119","Clostridioides difficile",1496,1,1870884,"","bacteria",15,0.172945108,NA,NA,94.3513,118.333,135,1.556505975,2,37,80.6244,4.07888517495921,0.03117593247878,0.122305581262906
"P119","Ochrobactrum anthropi",529,1,528,"","bacteria",6,0.069178043,NA,NA,95.5833,130.667,2,0.023059348,NA,NA,100,244.472019494025,0.968913508038611,0.994240793132856
"P119","Ochrobactrum pituitosum",571256,1,528,"","bacteria",6,0.069178043,NA,NA,98.8667,133.5,0,0,NA,NA,0,38.9510256933253,0.830525728715041,0.994240793132856
"P119","Enterobacter cloacae",550,1,547,"","bacteria",22,0.253652826,NA,NA,94.8584,135.773,7,0.080707717,NA,NA,97.8714,417.762749674119,0.942111207387059,0.994240793132856
"P119","Friedmanniella luteola",546871,1,53387,"","bacteria",22,0.253652826,NA,NA,96.0909,132.636,0,0,NA,NA,0,72.988178129749,0.72392136019049,0.994240793132856
"P119","Friedmanniella sagamiharensis",546874,1,53387,"","bacteria",37,0.426597934,2,20,97.9784,196.703,1,0.011529674,NA,NA,100,77.746782822067,0.608910310535699,0.994240793132856
"P119","Brachypodium distachyon",15368,1,15367,"stiff brome","eukaryota",5,0.057648369,NA,NA,93.84,94,0,0,NA,NA,0,6.97442790783513,0.444026908443637,0.994240793132856
"P119","Coprococcus catus",116085,1,33042,"","bacteria",21,0.242123152,1,10,91.0743,169.19,0,0,NA,NA,0,0.944329488571865,1.6636062991977e-07,9.66576318141449e-07
"P119","[Clostridium] bolteae",208479,1,1506553,"","bacteria",18,0.20753413,1,9,90.8926,227.444,89,1.026140976,2,76,88.9309,9.53942282761287,0.15175661153825,0.523731463880125
"P119","Lachnoclostridium phocaeense",1871021,1,1506553,"","bacteria",238,2.744062385,3,209,89.278,1203.63,0,0,NA,NA,0,1.27528102242941,2.35247358603977e-59,2.03733089809859e-58
"P119","[Clostridium] saccharolyticum",84030,1,1506553,"","bacteria",65,0.749428803,3,47,93.5022,208.738,0,0,NA,NA,0,1.15690648668226,3.42597233333722e-18,2.45706453281529e-17
"P119","Lachnoclostridium phytofermentans",66219,1,1506553,"","bacteria",7,0.080707717,NA,NA,90.8857,114,0,0,NA,NA,0,1.84575509074674,0.0323547091546379,0.124796735310746
"P119","[Clostridium] sphenoides",29370,1,1506553,"","bacteria",13,0.149885761,NA,NA,91.8923,108.923,0,0,NA,NA,0,0,0,0
"P119","Herbinix luporum",1679721,1,1663717,"","bacteria",16,0.184474782,1,7,92.8476,138.688,0,0,NA,NA,0,18.6528225385663,0.408560634587128,0.994240793132856
"P119","Cutibacterium granulosum",33011,1,1912216,"","bacteria",8,0.092237391,NA,NA,97.025,106.75,0,0,NA,NA,0,54.6804312203134,0.842690172503537,0.994240793132856
"P119","Cutibacterium acnes",1747,1,1912216,"","bacteria",86,0.991551954,1,8,99.614,147.826,271,3.124541623,8,189,80.4718,2678.60423118528,0.964817950233868,0.994240793132856
"P119","Aggregatibacter segnis",739,1,416916,"","bacteria",5,0.057648369,NA,NA,98.9,138,1,0.011529674,NA,NA,100,1.68380284013473,0.0621732027418155,0.233913934905683
"P119","Aggregatibacter actinomycetemcomitans",714,1,416916,"","bacteria",31,0.35741989,1,16,99.4677,114.613,12,0.138356087,1,5,95.7083,0,0,0
"P119","Aggregatibacter aphrophilus",732,1,416916,"","bacteria",10,0.115296739,NA,NA,98.8,109.2,1,0.011529674,NA,NA,97.8,9.04882685539206,0.314426022716889,0.943278068150666
"P119","Blattella germanica",6973,1,6972,"German cockroach","eukaryota",6,0.069178043,NA,NA,99.4487,167.667,1,0.011529674,NA,NA,83.7,0,0,0
"P119","Rhodotorula taiwanensis",741276,1,5533,"","eukaryota",6,0.069178043,NA,NA,95.3167,104,0,0,NA,NA,0,0,0,0
"P119","Rhodotorula glutinis",5535,1,5533,"","eukaryota",35,0.403538586,1,25,96.8621,256.629,0,0,NA,NA,0,7.5322678902583,0.0120339311317883,0.0488811892875294
"P119","Kalmanozyma brasiliensis",1392244,1,1804794,"","eukaryota",13,0.149885761,1,12,99.5692,253.615,0,0,NA,NA,0,0,0,0
"P119","Cladosporium cladosporioides",29917,1,5498,"","eukaryota",17,0.196004456,1,14,98.5878,237.118,0,0,NA,NA,0,27.4233754548548,0.519826334166456,0.994240793132856
"P119","Cladosporium herbarum",29918,1,5498,"","eukaryota",9,0.103767065,NA,NA,99.9222,137.222,0,0,NA,NA,0,49.9133162680735,0.812957113650813,0.994240793132856
