"sample_name","name","tax_id","tax_level","genus_tax_id","common_name","category","nt_count","nt_rpm","nt_contigs","nt_contig_r","nt_percent_identity","nt_alignment_length","nr_count","nr_rpm","nr_contigs","nr_contig_r","nr_percent_identity"
"P233","Human orthopneumovirus",11250,1,1868215,"","viruses",3046,56.56798716,5,3032,99.5767,3988.51,3024,56.15941995,5,3032,99.6084
"P233","Haemophilus influenzae",727,1,724,"","bacteria",31387,582.8954081,86,30211,99.9235,1464.17,5289,98.22327121,72,4424,99.826
"P233","Haemophilus parainfluenzae",729,1,724,"","bacteria",2,0.037142474,NA,NA,97.6,124,4,0.074284947,NA,NA,92.3
"P233","Kadipiro virus",104580,1,208294,"","viruses",2,0.037142474,NA,NA,100,150,4,0.074284947,NA,NA,91.5
"P233","Chromobacterium vaccinii",1108595,1,535,"","bacteria",2,0.037142474,NA,NA,91.3,149,0,0,NA,NA,0
"P233","Candidatus Ruthia magnifica",386487,1,1541743,"","bacteria",2,0.037142474,NA,NA,87.8,74,0,0,NA,NA,0
"P233","Pseudopediastrum boryanum",55410,1,427904,"","eukaryota",2,0.037142474,NA,NA,96.6,89,0,0,NA,NA,0
"P233","Plesiomonas shigelloides",703,1,702,"","bacteria",24,0.445709682,2,22,100,402.25,0,0,NA,NA,0
"P233","Paracoccus aminophilus",34003,1,265,"","bacteria",1,0.018571237,NA,NA,100,126,0,0,NA,NA,0
"P233","Paracoccus denitrificans",266,1,265,"","bacteria",1,0.018571237,NA,NA,100,126,0,0,NA,NA,0
"P233","uncultured alpha proteobacterium HF0130_06E21",710808,1,-200,"","bacteria",2,0.037142474,NA,NA,91.4,81,2,0.037142474,NA,NA,85.3
"P233","uncultured Acidobacteria bacterium",171953,1,-200,"","bacteria",2,0.037142474,NA,NA,93.3,104,0,0,NA,NA,0
"P233","uncultured beta proteobacterium",86027,1,-200,"","bacteria",2,0.037142474,NA,NA,100,104,0,0,NA,NA,0
"P233","uncultured organism",155900,1,-200,"","",8,0.148569894,NA,NA,100,89.75,0,0,NA,NA,0
"P233","uncultured fungus",175245,1,-200,"","eukaryota",12,0.222854841,NA,NA,94.6833,86.5,0,0,NA,NA,0
"P233","uncultured eukaryote",100272,1,-200,"","eukaryota",54,1.002846785,NA,NA,97.1685,88.8704,0,0,NA,NA,0
"P233","uncultured bacterium",77133,1,-200,"","bacteria",150,2.785685514,1,8,98.7697,116.08,14,0.259997315,NA,NA,89.1571
"P233","Deinococcus puniceus",1182568,1,1298,"","bacteria",2,0.037142474,NA,NA,94.55,91.5,0,0,NA,NA,0
"P233","Acinetobacter sp. TTH0-4",1646498,1,469,"","bacteria",1,0.018571237,NA,NA,100,150,0,0,NA,NA,0
"P233","Acinetobacter haemolyticus",29430,1,469,"","bacteria",2,0.037142474,NA,NA,100,104,0,0,NA,NA,0
"P233","Acinetobacter sp. NCu2D-2",1608473,1,469,"","bacteria",2,0.037142474,NA,NA,97.6,85,0,0,NA,NA,0
"P233","Acinetobacter lwoffii",28090,1,469,"","bacteria",3,0.05571371,NA,NA,97.6,105.333,0,0,NA,NA,0
"P233","Acinetobacter johnsonii",40214,1,469,"","bacteria",2,0.037142474,NA,NA,100,139,0,0,NA,NA,0
"P233","Flavobacterium anhuiense",459526,1,237,"","bacteria",2,0.037142474,NA,NA,100,88,0,0,NA,NA,0
"P233","Flavobacterium columnare",996,1,237,"","bacteria",2,0.037142474,NA,NA,93.6,94,0,0,NA,NA,0
"P233","Flavobacterium branchiophilum",55197,1,237,"","bacteria",2,0.037142474,NA,NA,99.65,150,0,0,NA,NA,0
"P233","Flavobacterium psychrophilum",96345,1,237,"","bacteria",6,0.111427421,NA,NA,99.7667,108.667,0,0,NA,NA,0
"P233","Bacillus subtilis",1423,1,1386,"","bacteria",6,0.111427421,1,4,92.462,281.833,0,0,NA,NA,0
"P233","Pseudomonas avellanae",46257,1,286,"","bacteria",1,0.018571237,NA,NA,97.3,150,0,0,NA,NA,0
"P233","Pseudomonas nitroreducens",46680,1,286,"","bacteria",2,0.037142474,NA,NA,99,101,0,0,NA,NA,0
"P233","Pseudomonas salegens",1434072,1,286,"","bacteria",1,0.018571237,NA,NA,95,80,0,0,NA,NA,0
"P233","Pseudomonas syringae group genomosp. 3",251701,1,286,"","bacteria",1,0.018571237,NA,NA,99.2,124,0,0,NA,NA,0
"P233","Pseudomonas sp. S-6-2",1931241,1,286,"","bacteria",1,0.018571237,NA,NA,95,80,0,0,NA,NA,0
"P233","Pseudomonas aeruginosa",287,1,286,"","bacteria",2,0.037142474,NA,NA,100,122,0,0,NA,NA,0
"P233","Pseudomonas sp. CC6-YY-74",1930532,1,286,"","bacteria",2,0.037142474,NA,NA,98.2,112,0,0,NA,NA,0
"P233","Pseudomonas knackmussii",65741,1,286,"","bacteria",2,0.037142474,NA,NA,100,142,0,0,NA,NA,0
"P233","Pseudomonas stutzeri",316,1,286,"","bacteria",2,0.037142474,NA,NA,100,113,0,0,NA,NA,0
"P233","Pseudomonas fulva",47880,1,286,"","bacteria",3,0.05571371,NA,NA,99.7333,122.333,0,0,NA,NA,0
"P233","Pseudomonas fragi",296,1,286,"","bacteria",4,0.074284947,NA,NA,100,83,0,0,NA,NA,0
"P233","Pseudomonas mendocina",300,1,286,"","bacteria",12,0.222854841,1,10,97.6242,250.833,0,0,NA,NA,0
"P233","Pasteurella multocida",747,1,745,"","bacteria",1,0.018571237,NA,NA,100,101,11,0.204283604,1,7,99.7273
"P233","Microbulbifer aggregans",1769779,1,48073,"","bacteria",4,0.074284947,NA,NA,94.6,139,0,0,NA,NA,0
"P233","Candidatus Aquiluna sp. UB-MaderosW2red",1855377,1,529881,"","bacteria",6,0.111427421,NA,NA,97.8047,128.333,0,0,NA,NA,0
"P233","Brachyspira pilosicoli",52584,1,29521,"","bacteria",2,0.037142474,NA,NA,96.4,84,0,0,NA,NA,0
"P233","Lactobacillus backii",375175,1,1578,"","bacteria",2,0.037142474,NA,NA,98.3,116,1,0.018571237,NA,NA,82.2
"P233","Actinobacillus pleuropneumoniae",715,1,713,"","bacteria",2,0.037142474,NA,NA,100,150,1,0.018571237,NA,NA,98
"P233","Planctopirus limnophila",120,1,1649480,"","bacteria",2,0.037142474,NA,NA,94.6,93,0,0,NA,NA,0
"P233","Chamaesiphon minutus",1173032,1,217161,"","bacteria",2,0.037142474,NA,NA,97.8,91,0,0,NA,NA,0
"P233","Aurantimicrobium minutum",708131,1,1705353,"","bacteria",6,0.111427421,1,6,93.75,240,0,0,NA,NA,0
"P233","Rubinisphaera brasiliensis",119,1,1649490,"","bacteria",1,0.018571237,NA,NA,96.4,84,0,0,NA,NA,0
"P233","Moorea producens",1155739,1,1155738,"","bacteria",2,0.037142474,NA,NA,95.2,84,0,0,NA,NA,0
"P233","Pirellula sp. SH-Sr6A",1632865,1,123,"","bacteria",4,0.074284947,NA,NA,97.5,100.5,0,0,NA,NA,0
"P233","Cellvibrio sp. PSBB006",1987723,1,10,"","bacteria",2,0.037142474,NA,NA,93.55,140,0,0,NA,NA,0
"P233","Cellvibrio japonicus",155077,1,10,"","bacteria",2,0.037142474,NA,NA,100,88.5,0,0,NA,NA,0
"P233","Cellvibrio sp. PSBB023",1945512,1,10,"","bacteria",6,0.111427421,1,4,94.458,181.333,0,0,NA,NA,0
"P233","Clostridium beijerinckii",1520,1,1485,"","bacteria",1,0.018571237,NA,NA,100,150,0,0,NA,NA,0
"P233","Clostridium butyricum",1492,1,1485,"","bacteria",1,0.018571237,NA,NA,100,150,0,0,NA,NA,0
"P233","Candidatus Babela massiliensis",673862,1,1551504,"","bacteria",2,0.037142474,NA,NA,94.3,122,0,0,NA,NA,0
"P233","Thermobispora bispora",2006,1,147067,"","bacteria",2,0.037142474,NA,NA,91.3,104,0,0,NA,NA,0
"P233","Flammeovirgaceae bacterium 311",1257021,1,-200200667,"","bacteria",2,0.037142474,NA,NA,97.2,106,0,0,NA,NA,0
"P233","Saccharomyces cerevisiae",4932,1,4930,"baker's yeast","eukaryota",32,0.594279576,1,30,99.712,660.625,0,0,NA,NA,0
"P233","Sulfuricella denitrificans",649841,1,935200,"","bacteria",2,0.037142474,NA,NA,93.85,113.5,0,0,NA,NA,0
"P233","Aureobasidium pullulans",5580,1,5579,"","eukaryota",2,0.037142474,NA,NA,100,115,0,0,NA,NA,0
"P233","Psychrobacter cryohalolentis",330922,1,497,"","bacteria",2,0.037142474,NA,NA,100,104,0,0,NA,NA,0
"P233","Myroides odoratimimus",76832,1,76831,"","bacteria",2,0.037142474,NA,NA,94.4,72,0,0,NA,NA,0
"P233","Burkholderia contaminans",488447,1,32008,"","bacteria",8,0.148569894,NA,NA,100,136.625,0,0,NA,NA,0
"P233","Comamonas testosteroni",285,1,283,"","bacteria",2,0.037142474,NA,NA,98.9,91,0,0,NA,NA,0
"P233","Clavibacter michiganensis",28447,1,1573,"","bacteria",4,0.074284947,NA,NA,99.25,70.5,0,0,NA,NA,0
"P233","Streptococcus oralis",1303,1,1301,"","bacteria",2,0.037142474,NA,NA,100,150,0,0,NA,NA,0
"P233","Streptococcus pneumoniae",1313,1,1301,"","bacteria",4,0.074284947,NA,NA,98.35,134.5,7,0.129998657,NA,NA,93.1857
"P233","Polaromonas sp. JS666",296591,1,52972,"","bacteria",1,0.018571237,NA,NA,99.2,125,0,0,NA,NA,0
"P233","Corynebacterium striatum",43770,1,1716,"","bacteria",2,0.037142474,NA,NA,99.65,150,0,0,NA,NA,0
"P233","Glutamicibacter arilaitensis",256701,1,1742989,"","bacteria",2,0.037142474,NA,NA,100,126,0,0,NA,NA,0
"P233","Mesorhizobium amorphae",71433,1,68287,"","bacteria",2,0.037142474,NA,NA,98.2,109,0,0,NA,NA,0
"P233","Micrococcus luteus",1270,1,1269,"","bacteria",4,0.074284947,NA,NA,99.175,205,0,0,NA,NA,0
"P233","Leifsonia sp. 21MFCrub1.1",1798223,1,110932,"","bacteria",2,0.037142474,NA,NA,85.1,101,0,0,NA,NA,0
"P233","Staphylococcus capitis",29388,1,1279,"","bacteria",2,0.037142474,NA,NA,100,150,0,0,NA,NA,0
"P233","Staphylococcus epidermidis",1282,1,1279,"","bacteria",2,0.037142474,NA,NA,100,141,0,0,NA,NA,0
"P233","Acidithiobacillus ferrivorans",160808,1,119977,"","bacteria",2,0.037142474,NA,NA,96.1,102,0,0,NA,NA,0
"P233","Malassezia restricta",76775,1,55193,"","eukaryota",4,0.074284947,NA,NA,98.7,97,0,0,NA,NA,0
"P233","Acidovorax avenae",80867,1,12916,"","bacteria",2,0.037142474,NA,NA,100,138,0,0,NA,NA,0
"P233","Acidovorax carolinensis",553814,1,12916,"","bacteria",4,0.074284947,NA,NA,100,92,0,0,NA,NA,0
