"gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","padj","log2FoldChange","negLog10P","sig","direction"
"RPSA",0.00130028535801836,11.2544035247951,0.0212614384344722,0.983078069070564,0.998419475690512,-6.03043327874586,0.998419475690512,0.00130028535801836,0.0006869560045745,FALSE,"NotSignificant"
"S100A7A",-0.00221621481262894,9.46570627175674,-0.0211672596281638,0.98315301444271,0.998419475690512,-6.03043518174113,0.998419475690512,-0.00221621481262894,0.0006869560045745,FALSE,"NotSignificant"
"SPATA22",0.00181111022587088,11.054221159778,0.0210850863373068,0.983218406219405,0.998419475690512,-6.03043683524931,0.998419475690512,0.00181111022587088,0.0006869560045745,FALSE,"NotSignificant"
"LRP10",0.00219299242672353,10.8778530643133,0.021033667425199,0.983259324366495,0.998419475690512,-6.0304378666401,0.998419475690512,0.00219299242672353,0.0006869560045745,FALSE,"NotSignificant"
"MEGF10",-0.00179158070486332,10.2555672613816,-0.0210012790494434,0.983285098414381,0.998419475690512,-6.03043851501251,0.998419475690512,-0.00179158070486332,0.0006869560045745,FALSE,"NotSignificant"
"CNGB1",0.0015862687393666,10.9986513580274,0.0204023784676168,0.983761695165524,0.998419475690512,-6.03045032415495,0.998419475690512,0.0015862687393666,0.0006869560045745,FALSE,"NotSignificant"
"CCL22",-0.00316106182299915,10.3730401480526,-0.0204015171965542,0.983762380557329,0.998419475690512,-6.03045034089152,0.998419475690512,-0.00316106182299915,0.0006869560045745,FALSE,"NotSignificant"
"RPS7",-0.00489980779480271,12.2974432092705,-0.0201662827841792,0.983949578451271,0.998419475690512,-6.03045488561333,0.998419475690512,-0.00489980779480271,0.0006869560045745,FALSE,"NotSignificant"
"ULBP2",-0.00178351661093743,9.92873842536184,-0.0200769848559104,0.984020641351038,0.998419475690512,-6.03045659704532,0.998419475690512,-0.00178351661093743,0.0006869560045745,FALSE,"NotSignificant"
"MET",-0.00424701826345148,12.8626379695443,-0.0199648108597873,0.984109909107515,0.998419475690512,-6.03045873614379,0.998419475690512,-0.00424701826345148,0.0006869560045745,FALSE,"NotSignificant"
"UGDH",-0.00687115574908117,14.4262908678824,-0.0199368424793916,0.984132166298913,0.998419475690512,-6.0304592676193,0.998419475690512,-0.00687115574908117,0.0006869560045745,FALSE,"NotSignificant"
"HHIP",0.00203391953408019,11.0625624756264,0.019509355990663,0.984472360896876,0.998419475690512,-6.03046729830525,0.998419475690512,0.00203391953408019,0.0006869560045745,FALSE,"NotSignificant"
"COLEC10",0.00182357284078804,11.3966509790921,0.0194119536637441,0.984549874265335,0.998419475690512,-6.03046910374049,0.998419475690512,0.00182357284078804,0.0006869560045745,FALSE,"NotSignificant"
"ADCYAP1",-0.00146534959509724,10.3478344367242,-0.0193302647469318,0.984614882919894,0.998419475690512,-6.03047061094706,0.998419475690512,-0.00146534959509724,0.0006869560045745,FALSE,"NotSignificant"
"PES1",-0.00248308677458665,10.1752736600016,-0.0191069109146191,0.984792630107797,0.998419475690512,-6.03047469950408,0.998419475690512,-0.00248308677458665,0.0006869560045745,FALSE,"NotSignificant"
"FAM162B",-0.00168840342900894,12.2863036328031,-0.019058729625837,0.98483097335448,0.998419475690512,-6.03047557524607,0.998419475690512,-0.00168840342900894,0.0006869560045745,FALSE,"NotSignificant"
